,place,start_date,end_date,name,price,description_short,rating,url,description
0,Barcelona,2024-02-23,2024-03-03,Duquesa Suites Barcelona,"€ 3,491",,8.8,https://www.booking.com/hotel/es/duquesa-suites-barcelona.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AuiRua0GwAIB0gIkMTBkN2M1YTMtMWVkNC00MGEyLThiZjAtMzFlODUwZDU2YTA22AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-23&checkout=2024-03-03&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=0e0a4c7fdc8e0668&srepoch=1705920771&all_sr_blocks=167704716_89652220_0_2_0&highlighted_blocks=167704716_89652220_0_2_0&matching_block_id=167704716_89652220_0_2_0&sr_pri_blocks=167704716_89652220_0_2_0__349088&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Set the centre of Barcelona, 400 metres from Picasso Museum and Barceloneta Metro Station, Duquesa Suites Barcelona features a year-round outdoor plunge pool, sun terrace and free WiFi. It is housed in a building from the 18th century with the Speciality Monument status.

Rooms at this hotel come with 1 extra large double bed, a sofa bed and a bathroom with free toiletries and a hairdryer. Rooms have air conditioning, a flat-screen TV and capsule coffee machine.

Please note that the hotel reserves the right to pre-authorise credit cards prior to arrival. When booking more than 3 rooms, different policies and additional charges may apply. Buffet breakfast is served at Hotel Duquesa de Cardona. Local City Tax pending to be paid at Front Desk.

Plaza Reial is 500 metres from Duquesa Suites Barcelona, while La Seu, Cathedral of Barcelona is 600 metres from the property. The nearest airport is Barcelona El Prat Airport, 13 km from Duquesa Suites Barcelona."
1,Barcelona,2024-02-23,2024-03-03,Sonder Casa Luz,"€ 4,457",,8.4,https://www.booking.com/hotel/es/casa-luz-barcelona.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AuiRua0GwAIB0gIkMTBkN2M1YTMtMWVkNC00MGEyLThiZjAtMzFlODUwZDU2YTA22AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-23&checkout=2024-03-03&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=0e0a4c7fdc8e0668&srepoch=1705920771&all_sr_blocks=596194811_233841452_2_2_0&highlighted_blocks=596194811_233841452_2_2_0&matching_block_id=596194811_233841452_2_2_0&sr_pri_blocks=596194811_233841452_2_2_0__445722&nad_id=65a7624c-94c6-4dfc-892f-a3f4a4f7e542_1&nad_cpc=0.65&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6IjhwUmN6WEcrbFVwMHdONFg4UTFmSW9SNWFNQmdEMG1hUitzNzE2bW1KQitldm41NmluZmQzM0IrdXVEdVRTditxMDhmYWFBS24rem51RmJwcUxOR051QjVDTTdpc0Z6NndjRXpNUi9RV1RYWitPOVhMSU0zU0dMd1d6NXRKaWQ2RFdBcGhOK212SlhaZ2ducXJjalJrKzNLdG1zeHJFdGZSN3U0cXZSWjJwcUhLTlp2TWNWZGUvYlovVm5CYmxrUUhYSkREWkcxS2VwVitjQ3k5U1VxcFNMYUtmZDNJZ0VsNEppb05ra09qcGY4Um5objBBT2luaU1YRE5yYWZNTk5DdDNESmhUOHBUTklrTDl2UkF5c0RqOUU5MlY5ZHRwbmFMOGUzcUZ6RGVvajVhTXBRL2JUVFNkaXM2SWJlNDk0WUc3UjI2a3hZOExOTklCOWo4aC9XM3BKVXlZaTZwZFl0eUxvMFpPdnI3MGlZVW0wSFhsUXZhcGZXM3BTZXl4NUhJdjZKZHVlRW9KamMwcFBERmMrb3V5TS9BYmM4SGMyL2FVemlPOWNmYmZkaXZKVE1mOE9paGxPRWMyRC94SFc4WTBOZVFDTFc3ZmJJcmpmMWNxVE00bEpsU0tmazNvSjIvTTk2bmxhYU9QWWpUVDBtSVdwb2pFbkhGaGZKRndoZGYzNkFWK0NMNTY2dWpzN24yU1NzK3RSTDgwRWZWNldyWnFQMlpkZUMzaldQT3dzckMxaEtlNG5HRmw1eFF2eDFNUi90aGpnMHdoeEtVRUJBZEVQTVNaTmlYRFlkRWRTTk5sWmVRZ0Fzd3RMTXNqa0ppLzd4eEV2dDZsSEYwTUo4QWE2TG1xNmhBQS9Ma2Nka1ZjL2pkZzVtUm83ZWRvQSs1ZGZYTVRYN2ZYRDltWTZ2bGt5NitidmdCNWp4TkpkTnlmYTM0bi9qWkFaa1BOQXdoODdvaElrZGRKVk1JRHNKOVZlM1F5ZHA2ZFRMcXV5N2diVDdVOU51UlQwTDZudEx3Z2JqV1VYckpqdFFpN3VhWXBnd04zS0dwOWhuYUpldjlqRGx4Tm5lUHZGVGZTWXhJU3ZzSkRpbkd3WGw0OHFBaXlKY1BMVGdmMlVpb0RBOE1NaEdRZlJNK29Sd2xJN1A1OUtUVkRwUjgxVkZaZTZrVG16MDVOc1R6SkNJbEVRd2dSNnhNdHNyWkp6WFQ0eFFKMG1aeEpLZUVORGhlcTNnWGhRTHZUVDRBMk4vN3VaQU9uZzFnUERoMVFZejV0Y3FCd0doZlRudmtXN1ppekY4aG5La2hkcWVlNUo5NEkwY00rZnpvdjUrbEdQSUJFblVqayt2ajdUYXNITkNmTCtqaHhIMzErUzd5OUE0UHA4YjdnRWJuZEd6UFZQV2ZrZkxMdDh4Z2JlYUE2TUpieW9nY1JWOVM2QlFpYXB4NkxPbUJRc2xMQm5mclJVcXdUKzZPamRCQkRLUTczY25GT1R5aTFIcE5tSGhQSTM2bUtWOGo4VGd1MXhQa2UvN01HN25wVWQrZTB1ZjRZckt2bjQ0RWRmTnpUTkNnRENHSXlrbWlWSUpaTytNQmRGYlVXWVQrNUZvd3NmSEJzTnovbDBIWFUwUkFPbUcrSXJRdjgveWdwOFU0d21nRFNtNjJaNDZmaTBOQkc1RFVEWnJvU2t6U2VscmVUVElsWEdmUm5rZEdvVDhoa28ySS8zSlQ3Zkp5QXpHcGRDMFpxT0RlWnhzQmtUUndlRHg3Yno1cVlxYVdEcUJMT0Rrbm43dmxVQjlIUURHaWJYc3FDOEFhWTV2L2hMV3ZrTkZBNzU0OE9BZzliVTdqN0xDU2oyUGV0M3FIZE50UlF1RkQyVnVISVl0MlVYWWg0ZWZMSjFwYUtyem1Bc3ZpTFJMb3M1bGdSZVlqSVY3amh0RlpFUnNZejI2M1FRVzhQQXkzOUtmYnJvNFZ5SmorcXFoaUJxbmNxdHFhSnp1aDZieHkySFI5SGQ2UHZNaTh4WUc2NDZsMFR1UU5jS3h0RTArYm5jSFNrZUpVTDVGMnBTK1JqcS9wSEh2MUZEZzVHM3BEMlFNYnF0eEY4QTlNRkxyOUFHS3h2KzFrNGUwQ3IrT3kvVmQxTmVXNkxUeEpRVVhXNVF4RXFLU1hTdXRFVmVveGsyeGk1QkhKejFFaUs1NXRtWXVNMUhETDRTMk92UndrVzJReW9nTVp0VGNUY2JOR1JOSlRFemJuSkowN2xyMWE0Y0lVNjA4UFFGNjV2aXZxa2VheHZKeGZUN3p4OG9MTzc3aUh1eWhvWW51UVZzeWxhRkFHVXZUQUFrWVRjcStoV1RUc2VFVzZRT2pWZWZZSURibmd0bUJTQnBvSkQ2ZEV6eU5RYkxaVCtDT3pOSFBKRTR0Zy9EWjE3TlMxdlpNMkp1ekN6d3ZxdWdLNG05S0JSWFJrRmM4bkt6TEtmRnJuM3NyVHA0d1dwOGFoWTR2N1RGSlNkSE05Wlh6Uk1kOEd3MGwvOFljemQ2dUo2MGsxbnBROEtTK0szaTdTd0FDRGtnRlNxb1BQamM1YU1hOHluTENSRU1hcDl2cmxpclRjb3V5dGtjWjJxd3RpcXlJdmd0Y3Z2ZWV1MlVROUJMMDl3L2l1bDJqdVpPY3VJTzgwejM0RkNiYkhScjlxVlo5bVRibTZXMUQrSnlkQXl3RGsvekhkcnoxZTBJTHB5bnphMXYxWlZVYmZBcTEzOXlVeGJsVUl0dFVmK2JkYm5vY01NMUpxYkNTQU43d1dxU0JpNGszN0NJZzZ6clo0RkdpZHdabmNsZjcrd3dhUDhkM3pJV1F4OHhlckJUd3hTcTBkNjZNNTZRYmNNVmRYSUNOUHFjT3F3Zlp3V0xRNmcvYkVTTTRKRkZWMTE4c0VRUmtpWmd0QVNrUUFLZU1IcGNOcmMxQUVNbXFFMEd1NGxRQWN2NExkamZxbTB1KzVMUHlzenpyZnZtc1Q5bWc3OGFtWHJlQVRsSTFzV3F3QUFocFE1Qk9qRlBsVGpQdkVhL2hjODZKcXlrdTVvWVJUTmVReGhjV3JXOFJGemhUemRSS2FOUGVUK2s3dlFlNGQ3Y1ZVaXJ3Vzc2R2hIL2NKN1RsbFRGazRlZmd3c0NwZ2h0Slg3WFRpTVNzQTdQT3F4K1RUTTRoM1N1ZXhLeXZjM0VUNGQvbHdUOUNzWFE3MWRqUnMxUVoxQWRka0g0RGhpb0VYQkhEUWhBWmZBaEVoa0g3eGtNMUcyZWRXaHdrcng1VXFPN053PT0ifQ%3D%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Set in Barcelona, Sonder Casa Luz offers a terrace, breakfast and complimentary housekeeping. Guests can enjoy the near contemporary art museum MACBA, La Boqueria market and Rambla del Raval.

An on-site restaurant is also available.

Popular points of interest near the hotel include Passeig de Gracia, Casa Batllo and Plaça Catalunya. The nearest airport is Barcelona El Prat Airport, 14 km from Sonder l Casa Luz."
2,Barcelona,2024-02-23,2024-03-03,Valencia 2,"€ 1,395",,,https://www.booking.com/hotel/es/valencia-2.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AuiRua0GwAIB0gIkMTBkN2M1YTMtMWVkNC00MGEyLThiZjAtMzFlODUwZDU2YTA22AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-23&checkout=2024-03-03&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=0e0a4c7fdc8e0668&srepoch=1705920771&all_sr_blocks=1133382401_385995024_3_0_0&highlighted_blocks=1133382401_385995024_3_0_0&matching_block_id=1133382401_385995024_3_0_0&sr_pri_blocks=1133382401_385995024_3_0_0__139500&from=searchresults#hotelTmpl,"Located in Barcelona, 1.2 km from Passeig de Gracia, 1.3 km from Plaça Catalunya and 1.1 km from Passeig de Gracia Metro Station, Valencia 2 provides accommodation with a balcony and free WiFi. The property is situated 1.9 km from Palau de la Musica Catalana, 1.6 km from Portal de l'Angel and 1.9 km from Cathedral of Barcelona. The property is less than 1 km from Casa Batllo, and within 1.1 km of the city centre.

Towels and bed linen are provided in the bed and breakfast. The accommodation is non-smoking.

Popular points of interest near the bed and breakfast include La Pedrera, Boqueria Market and Tivoli Theatre. The nearest airport is Barcelona El Prat Airport, 13 km from Valencia 2."
3,Barcelona,2024-02-23,2024-03-03,Fuster Apartments by Aspasios,"€ 2,448",Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 75m²,9.2,https://www.booking.com/hotel/es/fuster-apartments.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AuiRua0GwAIB0gIkMTBkN2M1YTMtMWVkNC00MGEyLThiZjAtMzFlODUwZDU2YTA22AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-23&checkout=2024-03-03&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=0e0a4c7fdc8e0668&srepoch=1705920771&all_sr_blocks=42060206_96152116_3_0_0&highlighted_blocks=42060206_96152116_3_0_0&matching_block_id=42060206_96152116_3_0_0&sr_pri_blocks=42060206_96152116_3_0_0__244800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Fuster Apartments are just 150 metres from Diagonal Avenue and 15 minutes’ walk from Plaza de Catalunya. These stylish apartments are set in a Modernist building dating from 1905.

Fuster Apartments boast high ceilings and mosaic floors. Lounges include a plasma TV, DVD and CD player and sofa, while kitchens have a washing machine, dishwasher, oven and microwave. Some apartments also have balconies. Free Wi-Fi and air conditioning are included, and towels, bed linen and a hairdryer are provided.

There are several bars and restaurants within 5 minutes’ walk. Passeig de Gràcia, with its Gaudí buildings and exclusive shops, is 650 metres away.

The Sagrada Familia is 10 minutes’ walk from the Fuster Apartments. You can reach Ciutadella Park and Las Ramblas by foot in 20 minutes.

The properties are set 5 minutes’ walk from both Girona and Verdaguer Metro Stations. Nord Bus Station is 1.4 km away"
4,Barcelona,2024-02-23,2024-03-03,BarcelonaForRent The Central Place,"€ 5,350",Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 60m²,8.5,https://www.booking.com/hotel/es/barcelonaforrent-the-central-suites.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AuiRua0GwAIB0gIkMTBkN2M1YTMtMWVkNC00MGEyLThiZjAtMzFlODUwZDU2YTA22AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-23&checkout=2024-03-03&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=0e0a4c7fdc8e0668&srepoch=1705920771&all_sr_blocks=125092317_350330828_0_0_0&highlighted_blocks=125092317_350330828_0_0_0&matching_block_id=125092317_350330828_0_0_0&sr_pri_blocks=125092317_350330828_0_0_0__535000&from=searchresults#hotelTmpl,"Offering views of Casa Batlló, BarcelonaForRent The Central Places is located centrally, in between Paseo de Gracia and La Rambla. A balcony and free WiFi are available at the air-conditioned apartments.

Living rooms feature simple décor and a bright interior, as well as a flat-screen TV with Netflix, sofa bed and iPod dock. Complete with a dishwasher, kitchens come with an oven and a coffee machine.

BarcelonaForRent The Central Places offers modern bedrooms with parquet floors and single beds. Each private bathroom has a shower, and towels and linen are provided.

The apartments are surrounded by shops and restaurants. Passeig de Gràcia Metro Station is 250 metres away and offers transport to Sagrada Familia and La Barceloneta Beach in under 20 minutes. Barcelona-El Prat Airport is a 15-minute drive."
5,Barcelona,2024-02-23,2024-03-03,Barcelonaforrent Urban Town Suites,"€ 5,245",Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 80m²,7.8,https://www.booking.com/hotel/es/barcelonaforrent-urban-town-suites.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AuiRua0GwAIB0gIkMTBkN2M1YTMtMWVkNC00MGEyLThiZjAtMzFlODUwZDU2YTA22AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-23&checkout=2024-03-03&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=0e0a4c7fdc8e0668&srepoch=1705920771&all_sr_blocks=90826805_363623099_0_0_0&highlighted_blocks=90826805_363623099_0_0_0&matching_block_id=90826805_363623099_0_0_0&sr_pri_blocks=90826805_363623099_0_0_0__524500&from=searchresults#hotelTmpl,"Set in Barcelona's Gracia District, Barcelonaforrent Urban Town Suites offers air conditioning and a flat-screen TV. Lesseps Metro Station is a 10-minute walk from the apartment.

The bright apartments feature modern décor and includes a seating area with a sofa bed, DVD player and iPod dock. The kitchen is equipped with an oven, dishwasher and microwave. A washing machine is also available.

There is a double room, a twin room and a bathroom with a shower. Bed linen and towels are provided.

The apartment offers bicycle and car rental and there is shuttle service to the airport for a surcharge.

Guests will find a variety of restaurants and bars within 5 minutes' walk from the apartment. Paseo de Gracia, with high-end shops and Gaudi's La Pedrera, is 15 minutes away by metro. Sagrada Familia Cathedral is 3.5 km away."
6,Barcelona,2024-02-23,2024-03-03,Vincci Bit,"€ 2,926",,8.4,https://www.booking.com/hotel/es/vincci-bit.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AuiRua0GwAIB0gIkMTBkN2M1YTMtMWVkNC00MGEyLThiZjAtMzFlODUwZDU2YTA22AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-23&checkout=2024-03-03&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=0e0a4c7fdc8e0668&srepoch=1705920771&all_sr_blocks=36066801_386868967_0_2_0&highlighted_blocks=36066801_386868967_0_2_0&matching_block_id=36066801_386868967_0_2_0&sr_pri_blocks=36066801_386868967_0_2_0__292552&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Vincci Bit is located just 10 minutes walk from Mar Bella beach. Situated a 7-minute walk from El Maresme Forum Metro Station, it features a sauna, a gym and a rooftop swimming pool with city views.

The restaurant serves a buffet breakfast and à la carte meals, including gluten-free products. There is also a lounge, bar and room service available.

The air-conditioned rooms at Vincci Bit are bright and comfortable and feature a flat-screen TV, a pillow menu and a minibar. The private bathrooms include a shower, hairdryer and free toiletries. Free Wi-Fi is also available.

There are a number of bars, restaurants and shops within a few minutes walk from the hotel. Diagonal Mar Shopping Centre is just 300 metres away.

The International Convention Centre (CCIB) is a 9-minute walk from Vincci Bit. The historic centre of Barcelona can be reached in just 15-minutes by metro or tram."
7,Barcelona,2024-02-23,2024-03-03,Vincci Maritimo,"€ 3,190",,8.3,https://www.booking.com/hotel/es/vinccimaritimo.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AuiRua0GwAIB0gIkMTBkN2M1YTMtMWVkNC00MGEyLThiZjAtMzFlODUwZDU2YTA22AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-23&checkout=2024-03-03&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=0e0a4c7fdc8e0668&srepoch=1705920771&all_sr_blocks=9117502_386868972_0_2_0&highlighted_blocks=9117502_386868972_0_2_0&matching_block_id=9117502_386868972_0_2_0&sr_pri_blocks=9117502_386868972_0_2_0__319040&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Vincci Marítimo is located 10 minutes’ walk from Barcelona’s Diagonal Mar Shopping Centre and the CCIB Convention Centre. It offers bright, stylish rooms with flat-screen satellite TV and free Wi-Fi throughout.

The air-conditioned rooms at the Hotel Marítimo feature modern décor, with parquet floors and relaxing images of the sea. They come with a pillow menu and the private bathrooms contain a hairdryer. Rooms offer views of the charming Japanese Zen garden or Diagonal Mar Park.

The hotel’s Jardí de Mar Restaurant serves Mediterranean food using fresh ingredients. The hotel's breakfast includes products for celiacs. The Ikebana Lounge Bar offers snacks, tapas and cocktails which can be enjoyed on the terrace.

The hotel’s reception is open 24 hours a day, allowing you greater flexibility during your stay. Laundry and car rental services are also available from the front desk.

The Vincci Marítimo is just 500 metres from Mar Bella Beach. Selva de Mar Metro Station is 2 minutes’ walk from the hotel, connecting you with the city centre in 15 minutes."
8,Barcelona,2024-02-23,2024-03-03,RAMBLAS HOTEL powered by Vincci Hoteles,"€ 3,530",,8.3,https://www.booking.com/hotel/es/hesperia-ramblas.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AuiRua0GwAIB0gIkMTBkN2M1YTMtMWVkNC00MGEyLThiZjAtMzFlODUwZDU2YTA22AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-23&checkout=2024-03-03&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=0e0a4c7fdc8e0668&srepoch=1705920771&all_sr_blocks=4991801_386868989_0_2_0&highlighted_blocks=4991801_386868989_0_2_0&matching_block_id=4991801_386868989_0_2_0&sr_pri_blocks=4991801_386868989_0_2_0__352964&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"RAMBLAS HOTEL powered by Vincci Hoteles is set in the centre of Barcelona’s old town, a few metres from Las Ramblas. This stylish hotel offers free WiFi and rooms with satellite TV.

 RAMBLAS HOTEL powered by Vincci Hoteles features contemporary design and modern rooms decorated elegantly. Each room has air conditioning, a minibar and a desk.

 RAMBLAS HOTEL powered by Vincci Hoteles is ideally situated for visiting Barcelona’s main attractions. There are several restaurants, bars and cafés in the nearby Gothic Quarter and the famous Boquería Market is less than 100 metres away.

Barcelona Port is a 10-minute walk from the hotel and the city’s cathedral is one kilometre away. Liceu Metro Station and Liceu Theatre are a 1-minute walk from the  RAMBLAS HOTEL powered by Vincci Hoteles."
9,Barcelona,2024-02-23,2024-03-03,The Streets Apartments Rambla,"€ 3,924",Entire studio • 1 bathroom • 1 kitchen • 40m²,9.3,https://www.booking.com/hotel/es/the-streets-apartments-rambla-barcelona.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AuiRua0GwAIB0gIkMTBkN2M1YTMtMWVkNC00MGEyLThiZjAtMzFlODUwZDU2YTA22AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-23&checkout=2024-03-03&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=0e0a4c7fdc8e0668&srepoch=1705920771&all_sr_blocks=997178904_372582803_2_0_0&highlighted_blocks=997178904_372582803_2_0_0&matching_block_id=997178904_372582803_2_0_0&sr_pri_blocks=997178904_372582803_2_0_0__392418&from=searchresults#hotelTmpl,"The Streets Apartments Rambla provides accommodation within less than 1 km of the centre of Barcelona, with free WiFi, and a kitchen with a dishwasher, a microwave and a toaster. Featuring a lift, this property also provides guests with a sun terrace. When staying at the apartment, guests can use private entrance.

At the apartment complex, all units have a desk, a flat-screen TV, a private bathroom, bed linen and towels. All units are air conditioned and include a seating and/or dining area. The units include a wardrobe.

Sightseeing tours are available near the property.

Popular points of interest near The Streets Apartments Rambla include Sant Sebastian Beach, Sant Miquel Beach and Plaça Catalunya. The nearest airport is Barcelona El Prat Airport, 14 km from the accommodation."
10,Barcelona,2024-02-23,2024-03-03,Hostal Boqueria,"€ 2,686",,8.4,https://www.booking.com/hotel/es/hostal-boqueria.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AuiRua0GwAIB0gIkMTBkN2M1YTMtMWVkNC00MGEyLThiZjAtMzFlODUwZDU2YTA22AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-23&checkout=2024-03-03&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=0e0a4c7fdc8e0668&srepoch=1705920771&all_sr_blocks=1487401_95139617_0_0_0&highlighted_blocks=1487401_95139617_0_0_0&matching_block_id=1487401_95139617_0_0_0&sr_pri_blocks=1487401_95139617_0_0_0__268627&from=searchresults#hotelTmpl,"Situated on Barcelona’s Las Ramblas, this guest house is less than 200 metres from Liceu Metro Station. It offers simple, comfortable rooms and has free Wi-Fi access available throughout.

The Hostal Boquería’s functional rooms feature air conditioning and cable TV, as well as heating and a safe. The private bathroom comes with a hairdryer. Rooms with views of the Ramblas are subject to availability.

The Boquería has a 24-hour reception. Guests can also make use of its luggage storage.

The central location makes visiting Barcelona’s sights easy. The Boquería Market is just across the Ramblas. Barcelona Cathedral and the surrounding Gothic Quarter are within 5 minutes’ walk of Hostal Boqueria."
11,Barcelona,2024-02-23,2024-03-03,Gran Hotel La Florida G.L Monumento,"€ 2,822",,8.7,https://www.booking.com/hotel/es/gran-la-florida.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AuiRua0GwAIB0gIkMTBkN2M1YTMtMWVkNC00MGEyLThiZjAtMzFlODUwZDU2YTA22AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-23&checkout=2024-03-03&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=0e0a4c7fdc8e0668&srepoch=1705920771&all_sr_blocks=9369904_91908501_0_2_0&highlighted_blocks=9369904_91908501_0_2_0&matching_block_id=9369904_91908501_0_2_0&sr_pri_blocks=9369904_91908501_0_2_0__282197&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Set on Tibidabo Hill, the 5-star Gran Hotel La Florida G.L Monumento offers views over Barcelona and the Mediterranean Sea. Guests enjoy free access to the Spa.

Rooms at La Florida feature free Wi-Fi access and 37-inch interactive plasma TVs. The bathrooms come with l’Occitane amenities, a bathtub and shower. Some also have a private balcony.

Guests can admire the views from the La Florida’s panoramic terraces and gardens. The Spa by L'Occitane includes a stainless steel swimming pool, both indoor and outdoor. A hot tub, sauna, pressure showers and a range of fitness equipment are also available.

The hotel’s restaurant serves gourmet Catalan, Spanish and Mediterranean dishes. There are also 2 bars."
12,Barcelona,2024-02-23,2024-03-03,Nice apartment BCN two rooms wifi,€ 667,Entire apartment • 1 bedroom • 1 bathroom,,https://www.booking.com/hotel/es/nice-apartment-bcn-two-rooms-wifi.en-gb.html?label=gen173nr-1FCAEoggI46AdICVgEaEaIAQGYAQm4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AuiRua0GwAIB0gIkMTBkN2M1YTMtMWVkNC00MGEyLThiZjAtMzFlODUwZDU2YTA22AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-23&checkout=2024-03-03&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=0e0a4c7fdc8e0668&srepoch=1705920771&all_sr_blocks=1099351801_382798602_2_0_0&highlighted_blocks=1099351801_382798602_2_0_0&matching_block_id=1099351801_382798602_2_0_0&sr_pri_blocks=1099351801_382798602_2_0_0__66702&from=searchresults#hotelTmpl,"Nice apartment BCN two rooms wifi has a balcony and is situated in Barcelona, within just 1.5 km of Casa Batllo and 1.9 km of Passeig de Gracia. The property is around 1.8 km from Passeig de Gracia Metro Station, 2.3 km from Plaça Catalunya and 2.7 km from Park Güell. Free WiFi is available throughout the property and La Pedrera is 1.1 km away.

The apartment is composed of 1 separate bedroom, a fully equipped kitchen, and 1 bathroom. A flat-screen TV is available. The property offers garden views.

Palau de la Musica Catalana is 2.8 km from the apartment, while Tivoli Theatre is 2.8 km from the property. The nearest airport is Barcelona El Prat Airport, 14 km from Nice apartment BCN two rooms wifi."
